Mã,Tên,Cấp,Nghị quyết,Mã TP,Tỉnh / Thành Phố
06658,Phường Cao Xanh,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06661,Phường Việt Hưng,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06673,Phường Bãi Cháy,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06676,Phường Hà Lầm,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06685,Phường Hồng Gai,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06688,Phường Hạ Long,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06706,Phường Tuần Châu,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06709,Phường Móng Cái 2,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06712,Phường Móng Cái 1,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06724,Xã Hải Sơn,Xã,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06733,Xã Hải Ninh,Xã,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06736,Phường Móng Cái 3,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06757,Xã Vĩnh Thực,Xã,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06760,Phường Mông Dương,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06778,Phường Quang Hanh,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06781,Phường Cửa Ông,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06793,Phường Cẩm Phả,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06799,Xã Hải Hòa,Xã,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06811,Phường Uông Bí,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06820,Phường Vàng Danh,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06832,Phường Yên Tử,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06838,Xã Bình Liêu,Xã,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06841,Xã Hoành Mô,Xã,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06856,Xã Lục Hồn,Xã,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06862,Xã Tiên Yên,Xã,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06874,Xã Điền Xá,Xã,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06877,Xã Đông Ngũ,Xã,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06886,Xã Hải Lạng,Xã,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06895,Xã Đầm Hà,Xã,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06913,Xã Quảng Tân,Xã,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06922,Xã Quảng Hà,Xã,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06931,Xã Quảng Đức,Xã,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06946,Xã Đường Hoa,Xã,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06967,Xã Cái Chiên,Xã,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06970,Xã Ba Chẽ,Xã,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06979,Xã Kỳ Thượng,Xã,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06985,Xã Lương Minh,Xã,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
06994,Đặc khu Vân Đồn,Đặc khu,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
07030,Phường Hoành Bồ,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
07054,Xã Quảng La,Xã,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
07060,Xã Thống Nhất,Xã,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
07069,Phường Mạo Khê,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
07081,Phường Bình Khê,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
07090,Phường An Sinh,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
07093,Phường Đông Triều,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
07114,Phường Hoàng Quế,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
07132,Phường Quảng Yên,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
07135,Phường Đông Mai,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
07147,Phường Hiệp Hòa,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
07168,Phường Hà An,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
07180,Phường Liên Hòa,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
07183,Phường Phong Cốc,Phường,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
07192,Đặc khu Cô Tô,Đặc khu,Số: 1679/NQ-UBTVQH15; Ngày: 16/06/2025,22,Tỉnh Quảng Ninh
07210,Phường Bắc Giang,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07228,Phường Đa Mai,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07246,Xã Xuân Lương,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07264,Xã Tam Tiến,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07282,Xã Đồng Kỳ,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07288,Xã Yên Thế,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07294,Xã Bố Hạ,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07306,Xã Nhã Nam,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07330,Xã Phúc Hòa,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07333,Xã Quang Trung,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07339,Xã Tân Yên,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07351,Xã Ngọc Thiện,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07375,Xã Lạng Giang,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07381,Xã Tiên Lục,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07399,Xã Kép,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07420,Xã Mỹ Thái,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07432,Xã Tân Dĩnh,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07444,Xã Lục Nam,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07450,Xã Đông Phú,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07462,Xã Bảo Đài,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07486,Xã Nghĩa Phương,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07489,Xã Trường Sơn,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07492,Xã Lục Sơn,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07498,Xã Bắc Lũng,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07519,Xã Cẩm Lý,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07525,Phường Chũ,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07531,Xã Tân Sơn,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07534,Xã Sa Lý,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07537,Xã Biên Sơn,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07543,Xã Sơn Hải,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07552,Xã Kiên Lao,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07573,Xã Biển Động,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07582,Xã Lục Ngạn,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07594,Xã Đèo Gia,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07603,Xã Nam Dương,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07612,Phường Phượng Sơn,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07615,Xã Sơn Động,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07616,Xã Tây Yên Tử,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07621,Xã Vân Sơn,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07627,Xã Đại Sơn,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07642,Xã Yên Định,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07654,Xã An Lạc,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07663,Xã Tuấn Đạo,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07672,Xã Dương Hưu,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07681,Phường Yên Dũng,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07682,Phường Tân An,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07696,Phường Tiền Phong,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07699,Phường Tân Tiến,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07735,Xã Đồng Việt,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07738,Phường Cảnh Thụy,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07774,Phường Tự Lạn,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07777,Phường Việt Yên,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07795,Phường Nếnh,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07798,Phường Vân Hà,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07822,Xã Hoàng Vân,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07840,Xã Hiệp Hoà,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07864,Xã Hợp Thịnh,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
07870,Xã Xuân Cẩm,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09169,Phường Vũ Ninh,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09187,Phường Kinh Bắc,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09190,Phường Võ Cường,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09193,Xã Yên Phong,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09202,Xã Tam Giang,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09205,Xã Yên Trung,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09208,Xã Tam Đa,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09238,Xã Văn Môn,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09247,Phường Quế Võ,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09253,Phường Nhân Hòa,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09265,Phường Phương Liễu,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09286,Phường Nam Sơn,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09292,Xã Phù Lãng,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09295,Phường Bồng Lai,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09301,Phường Đào Viên,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09313,Xã Chi Lăng,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09319,Xã Tiên Du,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09325,Phường Hạp Lĩnh,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09334,Xã Liên Bão,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09340,Xã Đại Đồng,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09343,Xã Tân Chi,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09349,Xã Phật Tích,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09367,Phường Từ Sơn,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09370,Phường Tam Sơn,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09379,Phường Phù Khê,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09385,Phường Đồng Nguyên,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09400,Phường Thuận Thành,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09409,Phường Mão Điền,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09427,Phường Trí Quả,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09430,Phường Trạm Lộ,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09433,Phường Song Liễu,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09445,Phường Ninh Xá,Phường,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09454,Xã Gia Bình,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09466,Xã Cao Đức,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09469,Xã Đại Lai,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09475,Xã Nhân Thắng,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09487,Xã Đông Cứu,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09496,Xã Lương Tài,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09499,Xã Trung Kênh,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09523,Xã Trung Chính,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
09529,Xã Lâm Thao,Xã,Số: 1658/NQ-UBTVQH15; Ngày: 16/06/2025,24,Tỉnh Bắc Ninh
04792,Phường Tân Hòa,Phường,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
04795,Phường Hòa Bình,Phường,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
04828,Phường Thống Nhất,Phường,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
04831,Xã Đà Bắc,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
04846,Xã Đức Nhàn,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
04849,Xã Tân Pheo,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
04873,Xã Quy Đức,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
04876,Xã Cao Sơn,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
04891,Xã Tiền Phong,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
04894,Phường Kỳ Sơn,Phường,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
04897,Xã Thịnh Minh,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
04924,Xã Lương Sơn,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
04960,Xã Liên Sơn,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
04978,Xã Kim Bôi,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
04990,Xã Nật Sơn,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05014,Xã Mường Động,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05047,Xã Cao Dương,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05068,Xã Hợp Kim,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05086,Xã Dũng Tiến,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05089,Xã Cao Phong,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05092,Xã Thung Nai,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05116,Xã Mường Thàng,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05128,Xã Tân Lạc,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05134,Xã Mường Hoa,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05152,Xã Vân Sơn,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05158,Xã Mường Bi,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05191,Xã Toàn Thắng,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05200,Xã Mai Châu,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05206,Xã Tân Mai,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05212,Xã Pà Cò,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05245,Xã Bao La,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05251,Xã Mai Hạ,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05266,Xã Lạc Sơn,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05287,Xã Mường Vang,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05290,Xã Nhân Nghĩa,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05293,Xã Thượng Cốc,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05305,Xã Yên Phú,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05323,Xã Quyết Thắng,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05329,Xã Ngọc Sơn,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05347,Xã Đại Đồng,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05353,Xã Yên Thủy,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05362,Xã Lạc Lương,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05386,Xã Yên Trị,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05392,Xã Lạc Thủy,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05395,Xã An Nghĩa,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
05425,Xã An Bình,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
07894,Phường Nông Trang,Phường,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
07900,Phường Việt Trì,Phường,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
07909,Phường Thanh Miếu,Phường,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
07918,Phường Vân Phú,Phường,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
07942,Phường Phú Thọ,Phường,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
07948,Phường Âu Cơ,Phường,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
07954,Phường Phong Châu,Phường,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
07969,Xã Đoan Hùng,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
07996,Xã Bằng Luân,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
07999,Xã Chí Đám,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
08023,Xã Tây Cốc,Xã,Số: 1676/NQ-UBTVQH15; Ngày: 16/06/2025,25,Tỉnh Phú Thọ
